,Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,distance to subway
118,Central Harlem,4.0,4.0,40.814074,-73.947323,2350000.0,3340.0,1910,10027.0,135th St,B,C,,,,,,,,,,0.3150602466253179
119,Central Harlem,1.0,2.0,40.805553,-73.945763,624999.0,800.0,1900,10027.0,125th St,2,3,,,,,,,,,,0.22326624825668703
120,Central Harlem,2.0,2.0,40.80912100000001,-73.951471,1450000.0,1242.0,2010,10027.0,125th St,A,B,C,D,,,,,,,,0.18211564378845935
121,Central Harlem,0.0,0.0,40.809046,-73.941953,950000.0,,No,10027.0,125th St,2,3,,,,,,,,,,0.30491862160779903
122,Central Harlem,2.0,2.0,40.806999,-73.947402,1375000.0,1234.0,2008,10027.0,125th St,2,3,,,,,,,,,,0.15822864140717519
123,Central Harlem,1.0,2.0,40.813417,-73.959181,630000.0,9180.0,1956,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
124,Central Harlem,2.0,2.0,40.810398,-73.943099,1100000.0,1306.0,2005,10027.0,125th St,2,3,,,,,,,,,,0.3329289251320413
125,Central Harlem,1.0,1.0,40.813024,-73.961134,545000.0,,1905,10027.0,125th St,1,,,,,,,,,,,0.3196404554510628
126,Central Harlem,1.0,0.0,40.813417,-73.959181,365000.0,500.0,,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
127,Central Harlem,6.0,7.0,40.808144,-73.943688,2095000.0,2889.0,1909,10027.0,125th St,2,3,,,,,,,,,,0.13310099551244187
128,Central Harlem,5.0,8.0,40.808774,-73.942495,2999000.0,5200.0,2000,10027.0,125th St,2,3,,,,,,,,,,0.25087882336493456
129,Central Harlem,5.0,4.0,40.805203999999996,-73.949872,3875000.0,4103.0,1910,10027.0,116th St,2,3,,,,,,,,,,0.33100876574096255
130,Central Harlem,1.0,2.0,40.812615,-73.957213,685000.0,904.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29943760938520864
