bath,bed,latitude,logitude,price,size,year built,zipcode,distance to subway,complaints
3,3,40.7523,-74.00389799999999,4300000,2180,2018,10001,0.36178103899999997,5441.0
2,2,40.746798999999996,-73.995597,3250000,1400,2017,10001,0.134812982,5441.0
2,2,40.7518,-74.002799,3300000,1240,2017,10001,0.366858756,5441.0
2,2,40.744626000000004,-73.99233100000001,1650000,1250,1905,10001,0.179420178,5441.0
2,2,40.745311,-73.995482,2500000,1313,1910,10001,0.114381358,5441.0
3,3,40.7453,-73.995498,6350000,3256,1910,10001,0.112872581,5441.0
4,3,40.75509,-74.00518199999999,10825000,2581,2019,10001,0.325704955,5441.0
4,3,40.75509,-74.00518199999999,8750000,2724,2019,10001,0.325704955,5441.0
3,2,40.748821,-74.003785,4150000,2349,2008,10001,0.561192597,5441.0
1,1,40.746077,-73.988136,2999999,101808,1906,10001,0.09421608699999999,5441.0
3,3,40.7485,-73.995796,3995000,1812,2006,10001,0.228611961,5441.0
2,2,40.746204999999996,-73.993703,4200000,3370,1907,10001,0.045015844000000006,5441.0
3,2,40.75509,-74.00518199999999,6950000,2022,2019,10001,0.325704955,5441.0
1,1,40.746507,-73.996799,1399000,783,2015,10001,0.02901792,5441.0
2,3,40.746817,-73.995625,3375000,1867,2017,10001,0.133081778,5441.0
2,2,40.746134999999995,-73.989195,2800000,1800,1924,10001,0.073611828,5441.0
2,2,40.746817,-73.995625,2375000,1403,2017,10001,0.133081778,5441.0
4,3,40.7518,-74.002799,5750000,2146,2017,10001,0.366858756,5441.0
2,2,40.745311,-73.995482,2595000,1140,1910,10001,0.114381358,5441.0
3,3,40.745311,-73.995482,4950000,2202,1910,10001,0.114381358,5441.0
1,2,40.744626000000004,-73.99233100000001,1590000,1100,1905,10001,0.179420178,5441.0
2,2,40.746898,-73.989303,2275000,1266,2017,10001,0.1587159,5441.0
2,2,40.746134999999995,-73.989195,2795000,61418,1924,10001,0.073611828,5441.0
3,3,40.745311,-73.995482,4195000,2202,1910,10001,0.114381358,5441.0
1,1,40.746971,-73.99323199999999,1298000,998,1926,10001,0.01072122,5441.0
2,1,40.748339,-74.000384,2450000,1536,1914,10001,0.287461173,5441.0
2,1,40.745311,-73.995482,2150000,1140,1910,10001,0.114381358,5441.0
2,2,40.746898,-73.989303,2575000,1247,2017,10001,0.1587159,5441.0
2,2,40.745311,-73.995482,2500000,1294,1910,10001,0.114381358,5441.0
2,2,40.746898,-73.989303,2580000,1330,2017,10001,0.1587159,5441.0
1,1,40.745311,-73.995482,1450000,980,1910,10001,0.114381358,5441.0
2,1,40.747685,-73.99117,2249000,1661,1929,10001,0.172428878,5441.0
2,2,40.746898,-73.989303,2395000,1325,2017,10001,0.1587159,5441.0
1,0,40.746971,-73.99323199999999,875000,520,1926,10001,0.01072122,5441.0
2,2,40.7453,-73.995498,3595000,1628,1910,10001,0.112872581,5441.0
2,1,40.748087,-74.001715,1795000,1339,1912,10001,0.3687052,5441.0
12,5,40.742829,-74.003331,25000000,11000,1920,10011,0.223496881,5022.0
9,8,40.733897999999996,-73.9962,52500000,16560,1900,10011,0.2963847,5022.0
2,2,40.737590999999995,-73.998929,2400000,28200,1910,10011,0.088976128,5022.0
4,4,40.745043,-74.002863,5995000,2365,2008,10011,0.34571342200000005,5022.0
9,5,40.733773,-73.998667,11500000,5750,1839,10011,0.098218685,5022.0
5,5,40.744515,-74.005517,9999999,3950,2008,10011,0.485402312,5022.0
6,6,40.747039,-74.004082,7900000,4155,1901,10011,0.48838454,5022.0
6,6,40.743615000000005,-73.99715400000001,9000000,7248,1901,10011,0.11463367199999999,5022.0
1,3,40.7429,-73.997398,1165000,900,1902,10011,0.124924975,5022.0
3,3,40.736090000000004,-74.000333,10495000,3700,1899,10011,0.123222157,5022.0
2,2,40.736598,-73.999298,3995000,1465,2013,10011,0.11426748099999999,5022.0
2,3,40.744509,-73.995137,7895000,3900,1910,10011,0.046764861,5022.0
2,2,40.735708,-73.99431899999999,2000000,1800,1910,10011,0.248797465,5022.0
0,0,40.737991,-73.99658199999999,499000,500,1920,10011,0.061832150999999995,5022.0
6,4,40.73655,-74.000004,19850000,6574,2013,10011,0.079303265,5022.0
4,4,40.735504,-73.99614,7750000,2288,1861,10011,0.186601204,5022.0
7,5,40.735253,-73.995358,22500000,6750,1910,10011,0.23454935699999999,5022.0
1,1,40.74123,-74.001793,1245000,692,2008,10011,0.006594859000000001,5022.0
1,1,40.744377,-74.001734,725000,62638,1928,10011,0.26897007100000003,5022.0
4,4,40.739445,-73.99175600000001,6950000,3500,1900,10011,0.23094947300000002,5022.0
10,4,40.747254,-74.003861,18000000,7050,1900,10011,0.480751844,5022.0
1,0,40.73235,-73.99941,11000000,5410,1900,10011,0.084108854,5022.0
4,3,40.744597999999996,-74.00589699999999,9950000,3447,2007,10011,0.51377589,5022.0
2,2,40.748186,-74.004806,1700000,1050,2005,10011,0.598754268,5022.0
5,5,40.741797999999996,-73.995399,6495000,4912,1905,10011,0.152808904,5022.0
3,5,40.734845,-73.996385,13500000,3696,1901,10011,0.256708664,5022.0
1,1,40.739398,-73.992599,1475000,904,1906,10011,0.26778225,5022.0
2,2,40.747299,-74.00409599999999,1450000,885,1900,10011,0.5008923470000001,5022.0
1,1,40.74723,-74.00379000000001,695000,650,1900,10011,0.47420241799999996,5022.0
3,3,40.745201,-73.999,3195000,1800,1931,10011,0.021106381,5022.0
2,2,40.738828000000005,-73.997825,2290000,1400,1938,10011,0.13583229900000002,5022.0
3,3,40.744499,-74.005401,2199000,2277,2009,10011,0.477656704,5022.0
